Y,X,id,value
51.2051898213468,16.8268129565787,"1",
51.2023756135531,16.8268129565787,"2",
51.1995612338158,16.8268129565787,"3",
51.1967466821312,16.8268129565787,"4",
51.1939319584957,16.8268129565787,"5",
51.1911170629055,16.8268129565787,"6",
51.1883019953569,16.8268129565787,"7",
51.1854867558461,16.8268129565787,"8",
51.1826713443696,16.8268129565787,"9",
51.1798557609235,16.8268129565787,"10",
51.1770400055042,16.8268129565787,"11",6.778
51.1742240781079,16.8268129565787,"12",
51.1714079787311,16.8268129565787,"13",
51.1685917073698,16.8268129565787,"14",
51.1657752640206,16.8268129565787,"15",
51.1629586486796,16.8268129565787,"16",
51.1601418613432,16.8268129565787,"17",
51.1573249020077,16.8268129565787,"18",
51.1545077706693,16.8268129565787,"19",
51.1516904673245,16.8268129565787,"20",
51.1488729919694,16.8268129565787,"21",
51.1460553446005,16.8268129565787,"22",6.884
51.143237525214,16.8268129565787,"23",5.085
51.1404195338062,16.8268129565787,"24",
51.1376013703735,16.8268129565787,"25",
51.1347830349122,16.8268129565787,"26",
51.1319645274186,16.8268129565787,"27",
51.1291458478889,16.8268129565787,"28",
51.1263269963196,16.8268129565787,"29",
51.123507972707,16.8268129565787,"30",
51.1206887770473,16.8268129565787,"31",
51.117869409337,16.8268129565787,"32",
51.1150498695723,16.8268129565787,"33",
51.1122301577496,16.8268129565787,"34",
51.1094102738651,16.8268129565787,"35",
51.1065902179153,16.8268129565787,"36",
51.1037699898964,16.8268129565787,"37",
51.1009495898048,16.8268129565787,"38",
51.0981290176369,16.8268129565787,"39",
51.0953082733889,16.8268129565787,"40",
51.0924873570572,16.8268129565787,"41",
51.0896662686381,16.8268129565787,"42",
51.0868450081281,16.8268129565787,"43",
51.0840235755233,16.8268129565787,"44",
51.0812019708203,16.8268129565787,"45",
51.0783801940153,16.8268129565787,"46",
51.0755582451046,16.8268129565787,"47",
51.0727361240846,16.8268129565787,"48",
51.0699138309517,16.8268129565787,"49",
51.0670913657022,16.8268129565787,"50",
51.0642687283325,16.8268129565787,"51",
51.061445918839,16.8268129565787,"52",
51.0586229372178,16.8268129565787,"53",
51.0557997834656,16.8268129565787,"54",
51.0529764575785,16.8268129565787,"55",
51.050152959553,16.8268129565787,"56",
51.0473292893854,16.8268129565787,"57",
51.0445054470721,16.8268129565787,"58",
51.2051898213468,16.8313045329993,"59",
51.2023756135531,16.8313045329993,"60",
51.1995612338158,16.8313045329993,"61",
51.1967466821312,16.8313045329993,"62",
51.1939319584957,16.8313045329993,"63",
51.1911170629055,16.8313045329993,"64",
51.1883019953569,16.8313045329993,"65",
51.1854867558461,16.8313045329993,"66",
51.1826713443696,16.8313045329993,"67",
51.1798557609235,16.8313045329993,"68",
51.1770400055042,16.8313045329993,"69",6.717
51.1742240781079,16.8313045329993,"70",
51.1714079787311,16.8313045329993,"71",4.118
51.1685917073698,16.8313045329993,"72",
51.1657752640206,16.8313045329993,"73",
51.1629586486796,16.8313045329993,"74",
51.1601418613432,16.8313045329993,"75",
51.1573249020077,16.8313045329993,"76",
51.1545077706693,16.8313045329993,"77",
51.1516904673245,16.8313045329993,"78",
51.1488729919694,16.8313045329993,"79",6.769
51.1460553446005,16.8313045329993,"80",7.469
51.143237525214,16.8313045329993,"81",
51.1404195338062,16.8313045329993,"82",
51.1376013703735,16.8313045329993,"83",
51.1347830349122,16.8313045329993,"84",
51.1319645274186,16.8313045329993,"85",
51.1291458478889,16.8313045329993,"86",
51.1263269963196,16.8313045329993,"87",
51.123507972707,16.8313045329993,"88",
51.1206887770473,16.8313045329993,"89",
51.117869409337,16.8313045329993,"90",
51.1150498695723,16.8313045329993,"91",
51.1122301577496,16.8313045329993,"92",
51.1094102738651,16.8313045329993,"93",
51.1065902179153,16.8313045329993,"94",
51.1037699898964,16.8313045329993,"95",
51.1009495898048,16.8313045329993,"96",
51.0981290176369,16.8313045329993,"97",
51.0953082733889,16.8313045329993,"98",
51.0924873570572,16.8313045329993,"99",
51.0896662686381,16.8313045329993,"100",
51.0868450081281,16.8313045329993,"101",
51.0840235755233,16.8313045329993,"102",
51.0812019708203,16.8313045329993,"103",
51.0783801940153,16.8313045329993,"104",
51.0755582451046,16.8313045329993,"105",
51.0727361240846,16.8313045329993,"106",
51.0699138309517,16.8313045329993,"107",
51.0670913657022,16.8313045329993,"108",
51.0642687283325,16.8313045329993,"109",
51.061445918839,16.8313045329993,"110",
51.0586229372178,16.8313045329993,"111",
51.0557997834656,16.8313045329993,"112",
51.0529764575785,16.8313045329993,"113",
51.050152959553,16.8313045329993,"114",
51.0473292893854,16.8313045329993,"115",
51.0445054470721,16.8313045329993,"116",
51.2051898213468,16.8357961094199,"117",
51.2023756135531,16.8357961094199,"118",
51.1995612338158,16.8357961094199,"119",
51.1967466821312,16.8357961094199,"120",
51.1939319584957,16.8357961094199,"121",
51.1911170629055,16.8357961094199,"122",
51.1883019953569,16.8357961094199,"123",
51.1854867558461,16.8357961094199,"124",
51.1826713443696,16.8357961094199,"125",
51.1798557609235,16.8357961094199,"126",
51.1770400055042,16.8357961094199,"127",
51.1742240781079,16.8357961094199,"128",6.084
51.1714079787311,16.8357961094199,"129",6.686
51.1685917073698,16.8357961094199,"130",
51.1657752640206,16.8357961094199,"131",
51.1629586486796,16.8357961094199,"132",
51.1601418613432,16.8357961094199,"133",
51.1573249020077,16.8357961094199,"134",
51.1545077706693,16.8357961094199,"135",
51.1516904673245,16.8357961094199,"136",
51.1488729919694,16.8357961094199,"137",5.458
51.1460553446005,16.8357961094199,"138",4.856
