X,Y,id,value
16.8256044535106,51.1429557338142,"57","4"
16.8271603812239,51.1469006568728,"198","6"
16.8271603812239,51.1457735704027,"199","10"
16.8271603812239,51.1446464564097,"200","5"
16.8271603812239,51.1435193148935,"201","4"
16.8287163089372,51.1767584205036,"317","5"
16.8287163089372,51.1756320633034,"318","7"
16.8287163089372,51.1474641897869,"343","7"
16.8287163089372,51.1463371170781,"344","8"
16.8287163089372,51.1452100168466,"345","5"
16.8287163089372,51.144082889092,"346","4"
16.8302722366506,51.1761952453431,"462","7"
16.8302722366506,51.1728160499173,"465","4"
16.8302722366506,51.1491547472455,"486","4"
16.8302722366506,51.1480277158204,"487","7"
16.8302722366506,51.1469006568728,"488","8"
16.8318281643639,51.1485912349732,"632","7"
16.8318281643639,51.1474641897869,"633","9"
16.8333840920772,51.1761952453431,"752","7"
16.8333840920772,51.1502817511485,"775","3"
16.8333840920772,51.1491547472455,"776","6"
16.8333840920772,51.1480277158204,"777","7"
16.8333840920772,51.1299914698118,"793","7"
16.8349400197905,51.173379266353,"900","5"
16.8349400197905,51.1497182526372,"921","5"
16.8349400197905,51.1485912349732,"922","5"
16.8349400197905,51.1474641897869,"923","6"
16.8349400197905,51.1305552091585,"938","8"
16.8349400197905,51.1226622320742,"945","6"
16.8364959475038,51.1728160499173,"1045","6"
16.8364959475038,51.171689596408,"1046","8"
16.8364959475038,51.1480277158204,"1067","7"
16.8364959475038,51.1469006568728,"1068","10"
16.8364959475038,51.1457735704027,"1069","3"
16.8364959475038,51.1446464564097,"1070","3"
16.8364959475038,51.1299914698118,"1083","7"
16.8364959475038,51.1232260608832,"1089","3"
16.8364959475038,51.1220983963833,"1090","8"
16.8364959475038,51.1142039740917,"1097","6"
16.8364959475038,51.1130760893627,"1098","5"
16.8364959475038,51.1119481771039,"1099","5"
16.8380518752171,51.173379266353,"1190","7"
16.8380518752171,51.1722528266023,"1191","8"
16.8380518752171,51.1711263593343,"1192","7"
16.8380518752171,51.1452100168466,"1215","4"
16.8380518752171,51.1294277235836,"1229","7"
16.8380518752171,51.1147679061327,"1242","5"
16.8380518752171,51.1136400351684,"1243","7"
16.8396078029304,51.1739424759094,"1334","6"
16.8396078029304,51.1728160499173,"1335","4"
16.8396078029304,51.171689596408,"1336","5"
16.8396078029304,51.1705631153812,"1337","7"
16.8396078029304,51.1299914698118,"1373","7"
16.8396078029304,51.1288639704738,"1374","6"
16.8411637306437,51.1756320633034,"1478","4"
16.8411637306437,51.1745056785866,"1479","6"
16.8411637306437,51.173379266353,"1480","5"
16.8411637306437,51.1722528266023,"1481","8"
16.8411637306437,51.1711263593343,"1482","6"
16.8411637306437,51.1294277235836,"1519","7"
16.8411637306437,51.1136400351684,"1533","5"
16.8411637306437,51.1125121366745,"1534","4"
16.842719658357,51.1728160499173,"1625","7"
16.842719658357,51.171689596408,"1626","10"
16.842719658357,51.1705631153812,"1627","8"
16.842719658357,51.1299914698118,"1663","8"
16.842719658357,51.1220983963833,"1670","7"
16.8442755860703,51.1316826672073,"1807","8"
16.8442755860703,51.1305552091585,"1808","9"
16.8442755860703,51.1226622320742,"1815","13"
16.8442755860703,51.1215345538104,"1816","8"
16.8442755860703,51.1136400351684,"1823","6"
16.8458315137837,51.1457735704027,"1939","11"
16.8458315137837,51.1311189416236,"1952","8"
16.8458315137837,51.1299914698118,"1953","6"
