X,Y,fid,id,value
16.8271603812239,51.1770400055042,"1","11","6"
16.8271603812239,51.1460553446005,"2","22","7"
16.8271603812239,51.143237525214,"3","23","4"
16.8310502005072,51.1756320633034,"4","69","7"
16.8310502005072,51.1728160499173,"5","70","4"
16.8310502005072,51.1502817511485,"6","78","6"
16.8310502005072,51.1474641897869,"7","79","7"
16.8349400197905,51.1742240781079,"8","128","6"
16.8349400197905,51.1714079787311,"9","129","7"
16.8349400197905,51.1488729919694,"10","137","6"
16.8349400197905,51.1460553446005,"11","138","5"
16.8349400197905,51.1291458478889,"12","144","8"
16.8349400197905,51.123507972707,"13","146","6"
16.8349400197905,51.1122301577496,"14","150","4"
16.8388298390738,51.1756320633034,"15","185","5"
16.8388298390738,51.1728160499173,"16","186","6"
16.8388298390738,51.1699998645487,"17","187","7"
16.8388298390738,51.1446464564097,"18","196","4"
16.8388298390738,51.1305552091585,"19","201","7"
16.8388298390738,51.1277364436095,"20","202","4"
16.8388298390738,51.1136400351684,"21","207","6"
16.842719658357,51.1742240781079,"22","244","7"
16.842719658357,51.1714079787311,"23","245","7"
16.842719658357,51.1319645274186,"24","259","8"
16.842719658357,51.1291458478889,"25","260","8"
16.842719658357,51.123507972707,"26","262","9"
16.842719658357,51.1206887770473,"27","263","8"
16.842719658357,51.1122301577496,"28","266","4"
16.8466094776403,51.1446464564097,"29","312","11"
16.8466094776403,51.1361922241467,"30","315","3"
16.8466094776403,51.1333738026696,"31","316","6"
16.8466094776403,51.1305552091585,"32","317","7"
16.8466094776403,51.1220983963833,"33","320","7"
16.8466094776403,51.1192791146987,"34","321","6"
16.8466094776403,51.1164596609617,"35","322","6"
16.8466094776403,51.1136400351684,"36","323","6"
16.8504992969236,51.1488729919694,"37","369","6"
16.8504992969236,51.1460553446005,"38","370","8"
16.8504992969236,51.143237525214,"39","371","8"
16.8504992969236,51.1404195338062,"40","372","7"
16.8504992969236,51.1376013703735,"41","373","5"
16.8504992969236,51.1347830349122,"42","374","6"
16.8504992969236,51.1319645274186,"43","375","6"
16.8504992969236,51.1291458478889,"44","376","6"
16.8504992969236,51.1206887770473,"45","379","6"
16.8504992969236,51.117869409337,"46","380","6"
16.8504992969236,51.1150498695723,"47","381","5"
16.8543891162069,51.1587334031756,"48","423","7"
16.8543891162069,51.1559163578391,"49","424","5"
16.8543891162069,51.153099140498,"50","425","6"
16.8543891162069,51.1502817511485,"51","426","5"
16.8543891162069,51.1474641897869,"52","427","6"
16.8543891162069,51.1446464564097,"53","428","8"
16.8543891162069,51.141828551013,"54","429","7"
16.8543891162069,51.1390104735932,"55","430","6"
16.8543891162069,51.1305552091585,"56","433","6"
16.8543891162069,51.1277364436095,"57","434","5"
16.8543891162069,51.1220983963833,"58","436","3"
16.8543891162069,51.1192791146987,"59","437","8"
16.8543891162069,51.1164596609617,"60","438","10"
16.8582789354901,51.1601418613432,"61","481","7"
16.8582789354901,51.1573249020077,"62","482","7"
16.8582789354901,51.1545077706693,"63","483","8"
16.8582789354901,51.1516904673245,"64","484","8"
16.8582789354901,51.1488729919694,"65","485","6"
16.8582789354901,51.1460553446005,"66","486","6"
16.8582789354901,51.143237525214,"67","487","7"
16.8582789354901,51.1291458478889,"68","492","6"
16.8582789354901,51.1206887770473,"69","495","7"
16.8582789354901,51.117869409337,"70","496","7"
16.8621687547734,51.1587334031756,"71","539","7"
16.8621687547734,51.1559163578391,"72","540","7"
16.8621687547734,51.153099140498,"73","541","8"
16.8621687547734,51.1502817511485,"74","542","10"
16.8621687547734,51.1474641897869,"75","543","7"
16.8621687547734,51.1446464564097,"76","544","5"
16.8621687547734,51.141828551013,"77","545","6"
16.8621687547734,51.1333738026696,"78","548","4"
16.8621687547734,51.1305552091585,"79","549","6"
16.8621687547734,51.1277364436095,"80","550","8"
16.8621687547734,51.124917506019,"81","551","7"
16.8621687547734,51.1220983963833,"82","552","5"
16.8621687547734,51.1192791146987,"83","553","7"
16.8660585740567,51.1545077706693,"84","599","9"
16.8660585740567,51.1516904673245,"85","600","10"
16.8660585740567,51.1488729919694,"86","601","8"
16.8660585740567,51.1460553446005,"87","602","9"
16.8660585740567,51.143237525214,"88","603","9"
