X,Y,id,count,price
16.8281572400749,51.1772674117456,"6","22",6.718
16.8281572400749,51.1716354127507,"7","6",4.118
16.8281572400749,51.1491005371139,"11","56",6.988
16.8281572400749,51.1434650981426,"12","38",5.816
16.8359368786415,51.1744514982383,"36","37",6.195
16.8359368786415,51.168819155279,"37","8",7.449
16.8359368786415,51.1519179985773,"40","18",5.282
16.8359368786415,51.1462829036369,"41","53",5.858
16.8359368786415,51.1293734902832,"44","154",7.408
16.8359368786415,51.1237356428896,"45","6",5.570
16.8359368786415,51.1124578835124,"47","13",5.541
16.843716517208,51.1772674117456,"66","6",6.028
16.843716517208,51.1716354127507,"67","46",6.145
16.843716517208,51.1434650981426,"72","3",11.037
16.843716517208,51.1321921559191,"74","60",6.532
16.843716517208,51.1209164611246,"76","57",6.576
16.843716517208,51.1152775814397,"77","14",5.475
16.8514961557746,51.157552405478,"99","27",7.246
16.8514961557746,51.1519179985773,"100","88",5.062
16.8514961557746,51.1462829036369,"101","134",6.830
16.8514961557746,51.1406471206274,"102","217",6.560
16.8514961557746,51.1350106495193,"103","84",5.438
16.8514961557746,51.1293734902832,"104","124",5.942
16.8514961557746,51.1180971073092,"106","121",5.984
16.8592757943411,51.1603693509228,"129","46",6.472
16.8592757943411,51.1547352880307,"130","417",7.924
16.8592757943411,51.1491005371139,"131","392",7.394
16.8592757943411,51.1434650981426,"132","142",7.015
16.8592757943411,51.1378289710875,"133","1",3.970
16.8592757943411,51.1321921559191,"134","48",6.071
16.8592757943411,51.1265546526079,"135","13",6.491
16.8592757943411,51.1209164611246,"136","122",6.286
16.8670554329077,51.1631861243688,"158","9",6.452
16.8670554329077,51.157552405478,"159","19",7.626
16.8670554329077,51.1519179985773,"160","129",10.069
16.8670554329077,51.1462829036369,"161","376",8.554
16.8670554329077,51.1406471206274,"162","150",7.542
16.8670554329077,51.1350106495193,"163","20",8.619
16.8670554329077,51.1293734902832,"164","9",7.220
16.8670554329077,51.1237356428896,"165","193",6.706
16.8670554329077,51.1180971073092,"166","141",6.519
16.8670554329077,51.1124578835124,"167","2",5.710
16.8748350714742,51.1772674117456,"186","5",6.494
16.8748350714742,51.1660027258196,"188","50",7.017
16.8748350714742,51.1603693509228,"189","315",7.907
16.8748350714742,51.1547352880307,"190","11",5.991
16.8748350714742,51.1491005371139,"191","82",6.936
16.8748350714742,51.1434650981426,"192","168",9.098
16.8748350714742,51.1378289710875,"193","180",7.279
16.8748350714742,51.1321921559191,"194","31",10.445
16.8748350714742,51.1265546526079,"195","2",3.920
16.8748350714742,51.1209164611246,"196","264",6.929
16.8748350714742,51.1096380135238,"198","5",10.760
16.8826147100408,51.1800831532762,"215","4",4.920
16.8826147100408,51.1744514982383,"216","92",6.897
16.8826147100408,51.168819155279,"217","22",6.356
16.8826147100408,51.1631861243688,"218","138",6.314
16.8826147100408,51.157552405478,"219","7",6.056
16.8826147100408,51.1519179985773,"220","347",7.134
16.8826147100408,51.1462829036369,"221","478",6.419
16.8826147100408,51.1406471206274,"222","353",7.035
16.8826147100408,51.1350106495193,"223","225",8.656
16.8826147100408,51.1293734902832,"224","8",8.525
16.8826147100408,51.1237356428896,"225","80",6.471
16.8826147100408,51.1180971073092,"226","2",3.515
16.8826147100408,51.1124578835124,"227","17",7.168
16.8826147100408,51.1068179714701,"228","37",11.775
16.8903943486073,51.1828987228339,"245","4",6.648
16.8903943486073,51.1716354127507,"247","66",6.338
16.8903943486073,51.1660027258196,"248","96",5.532
16.8903943486073,51.1603693509228,"249","92",8.134
16.8903943486073,51.1547352880307,"250","187",8.186
16.8903943486073,51.1491005371139,"251","447",6.856
16.8903943486073,51.1434650981426,"252","463",7.505
16.8903943486073,51.1378289710875,"253","682",7.033
16.8903943486073,51.1321921559191,"254","509",7.075
16.8903943486073,51.1209164611246,"256","21",6.021
16.8903943486073,51.1152775814397,"257","16",6.518
16.8903943486073,51.1096380135238,"258","118",6.531
16.8903943486073,51.1039977573476,"259","2",7.025
16.8981739871739,51.1744514982383,"276","28",6.221
16.8981739871739,51.168819155279,"277","89",8.086
16.8981739871739,51.1631861243688,"278","146",9.276
16.8981739871739,51.157552405478,"279","470",8.437
16.8981739871739,51.1519179985773,"280","94",10.874
16.8981739871739,51.1462829036369,"281","440",7.035
16.8981739871739,51.1406471206274,"282","217",7.536
16.8981739871739,51.1350106495193,"283","405",6.347
16.8981739871739,51.1293734902832,"284","39",6.418
16.8981739871739,51.1237356428896,"285","83",6.778
16.8981739871739,51.1180971073092,"286","57",6.678
16.8981739871739,51.1124578835124,"287","20",7.050
16.8981739871739,51.1068179714701,"288","170",6.766
16.8981739871739,51.1011773711527,"289","1",7.150
16.9059536257405,51.1997885289562,"302","6",7.310
16.9059536257405,51.1941592814096,"303","18",13.473
16.9059536257405,51.1885293460454,"304","14",12.274
16.9059536257405,51.1772674117456,"306","35",7.900
16.9059536257405,51.1716354127507,"307","147",8.549
16.9059536257405,51.1660027258196,"308","2",6.480
